id,projectNumber,dateModified,title,description,status,start,end,countries,executingAgencyPartner,DACSectors,maximumContribution,ContributingOrganization,expectedResults,resultsAchieved,aidType,collaborationType,financeType,flowType,reportingOrganisation,programName,selectionMechanism,policyMarkers,regions,alternameImPositions,budgets,Locations,otherIdentifiers,participatingOrgs,programDataStructure,relatedActivities,transactions
789,CA-3-D000478001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Coordination of Emergency Assistance - OCHA 2013,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD’s support, the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) is coordinating the humanitarian relief operations for the typhoon, in cooperation with the Government of the Philippines and other humanitarian partners. Some project activities include: (i) establishing hubs to help the Government of the Philippines and the humanitarian country team to better coordinate the humanitarian assistance efforts; (ii) supporting authorities (through the humanitarian country team and on the request of the government) to orient local actors on the cluster system, which coordinates groups of humanitarian organizations working in the main sectors of humanitarian action to ensure that the assistance provided is adequate and appropriate; (iii) establishing mechanisms to improve two-way communication between the humanitarian community and the typhoon-affected people to ensure that the humanitarian efforts meet people’s real needs; and (iv) enhancing analysis of the situation in the aftermath of Typhoon Haiyan in order to better understand the most immediate and important needs of typhoon-affected people.",Closed,2013-11-29T00:00:00,2014-05-31T00:00:00,"[""Philippines 100.00%""]",OCHA - United Nations Office for the Coordination of Humanitarian Affairs ,"[""Relief co-ordination; protection and support services 100.00%""]",200000.00,,"The expected immediate outcome of this project is strengthened humanitarian response through effective coordination and communication between the Government of the Philippines, the humanitarian country team, local actors and typhoon-affected people, and enhanced analysis of the context.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""200000.00""]","[""14.6042 120.9822""]","[""2013200200""]","[""OCHA - United Nations Office for the Coordination of Humanitarian Affairs ""]",,,"[""200000.00"", ""200000.00""]"
790,CA-3-D000479001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Assistance - UNICEF Canada 2013,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD’s support, the United Nations Children’s Fund (UNICEF) is addressing the emergency water, sanitation and hygiene, nutrition, child protection and psychosocial support needs of 450,000 typhoon-affected people. Some project activities include: (i) promoting the importance of safe water, basic sanitation and hygiene; (ii) providing child protection services to prevent and respond to all forms of abuse, exploitation, violence and neglect towards children, including all forms of gender-based violence and trafficking; (iii) providing emergency nutrition for girls and boys, including setting up emergency infant and young child feeding centres and therapeutic feeding centres to help feed malnourished children; (iv) providing psychosocial support services for displaced preschool and school-aged children and setting up safe learning spaces; and (v) helping the Government of the Philippines to support disaster-affected communities in the recovery process by coordinating water, sanitation and hygiene, and nutrition activities to ensure effective and efficient emergency responses.",Closed,2013-11-22T00:00:00,2014-05-31T00:00:00,"[""Philippines 100.00%""]",UNICEF CANADA ,"[""Material relief assistance and services 100.00%""]",3000000.00,,"The expected immediate outcomes of this project include: (i) increased awareness about the importance of safe water, basic sanitation and hygiene; (ii) increased access to child protection services; (iii) increased access to emergency nutrition services for malnourished children; (iv) improved access to psychosocial support services for displaced preschool and school-aged children; and (v) increased ability of the Government of the Philippines to support disaster-affected communities in the recovery process.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""3000000.00""]","[""14.6042 120.9822""]","[""2013200201""]","[""UNICEF CANADA ""]",,,"[""3000000.00"", ""3000000.00""]"
791,CA-3-D000480001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Logistics - WFP 2013,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD’s support, the United Nations World Food Programme (WFP) is providing logistical support to the humanitarian relief operations in the Philippines. The project aims to set up four mobile storage units in Cebu for the temporary and safe storage of equipment required to provide humanitarian assistance to typhoon-affected people. These storage units help to increase capacity to coordinate the logistics of providing effective and timely emergency assistance in the aftermath of Typhoon Haiyan in the Philippines.",Closed,2013-11-19T00:00:00,2014-05-31T00:00:00,"[""Philippines 100.00%""]",WFP - World Food Programme ,"[""Material relief assistance and services 100.00%""]",500000.00,,"The expected immediate outcome of this project is improved logistics capacity of the humanitarian community to respond and operate in the affected areas.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Disability"", ""Indigenous Issues"", ""ICT as a tool for development""]",,,"[""500000.00""]","[""14.6042 120.9822""]","[""2013200202""]","[""WFP - World Food Programme ""]",,,"[""500000.00"", ""500000.00""]"
792,CA-3-D000484001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Shelter - CARE Canada 2013,"November 19, 2013 - On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD’s support, CARE Canada is providing emergency shelters for up to 20,000 typhoon-affected people in Leyte province. Project activities include distributing emergency shelter kits to 4,000 households (20,000 individuals). These kits enable people to repair houses that were damaged in the typhoon and include items such as sheeting to repair roofs, nails, sealer and basic tools.",Closed,2013-11-21T00:00:00,2014-05-31T00:00:00,"[""Philippines 100.00%""]",CARE Canada ,"[""Material relief assistance and services 100.00%""]",1000000.00,,"The expected immediate outcome of this project is improved shelter for typhoon-affected people, especially women and children.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1000000.00""]","[""14.6042 120.9822""]","[""2013200203""]","[""CARE Canada ""]",,,"[""1000000.00"", ""1000000.00""]"
793,CA-3-D000485001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Health Care - Doctors without Borders 2013,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD’s support, Médecins Sans Frontières Canada is providing emergency health care to 200,000 typhoon-affected people in Tacloban City, Northern Cebu, and eastern Samar. Project activities include: (i) establishing one fully-equipped and staffed field hospital with an operating room able to handle trauma, acute and obstetric operations, a recovery room, an emergency room, a consultation room and an inpatient department; (ii) establishing four outpatient units able to stabilize and refer people to other services, treat minor injuries, manage disease, undertake disease surveillance and provide psycho-social support; (iii) distributing 1,500 temporary shelters; and (iv) distributing essential household items, including 23,000 blankets, 3,000 hygiene kits including items such as soap and toothbrushes, cooking sets, and 6,000 jerry cans to safely transport water.",Closed,2013-11-25T00:00:00,2014-02-28T00:00:00,"[""Philippines 100.00%""]",Doctors Without Borders ,"[""Material relief assistance and services 100.00%""]",1000000.00,,"The expected immediate outcomes of this project include: (i) increased access to emergency health services; (ii) increased access to temporary shelters; and (iii) increased access to essential household items.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1000000.00""]","[""14.6042 120.9822""]","[""2013200204""]","[""Doctors Without Borders ""]",,,"[""1000000.00"", ""1000000.00""]"
794,CA-3-D000486001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Water and Sanitation Facilities - Oxfam Canada 2013,"November 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD support, Oxfam Canada is providing safe water and sanitation facilities to 42,500 typhoon-affected people in Samar province. Some project activities include: (i) distributing water kits and hygiene kits for 8,500 families; (ii) providing 200 communal temporary latrines in temporary relocation sites with water facilities, such as hand pumps and tap stands; (iii) distributing 400 sets of latrine cleaning kits; (iv) providing 50 communal environmental cleaning kits (15 workers per kit); (v) repairing 1,500 household toilets, in locations such as schools, gymnasium, barangay hall or multi-purpose halls used as evacuation centres; and, (vi) forming water, sanitation and hygiene committees to carry out hygiene promotion sessions and be provided with operation and maintenance training.",Closed,2013-11-26T00:00:00,2014-03-31T00:00:00,"[""Philippines 100.00%""]",Oxfam Canada ,"[""Material relief assistance and services 100.00%""]",1500000.00,,"The expected immediate outcomes for this project include: (1) increased access to safe drinking water; and (2) improved hygiene practices.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1500000.00""]","[""14.6042 120.9822""]","[""2013200205""]","[""Oxfam Canada ""]",,,"[""1500000.00"", ""1500000.00""]"
795,CA-3-D000487001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Assistance - Plan Canada 2013,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD support, Plan Canada is providing emergency shelter, safe drinking water, essential household items, and health and hygiene sensitization to 57,500 typhoon-affected people in Leyte province. Some project activities include: (i) distributing 6,500 emergency family shelter kits that will benefit 32,500 individuals, including plastic sheeting, ground mats, bamboo poles, ropes and nails; (ii) distributing 11,500 essential household items kits, including soap, plastic pails and dippers, sarong cloths, toothbrushes and toothpaste, sanitary napkins and nail clippers; (iii) distributing 11,500 safe drinking and water kits, composed of capped jerry cans and Hyposol to purify water; and, (iv) conducting health and hygiene sensitization alongside distribution activities to promote healthy hygiene practices, appropriate water treatment/storage, and to mitigation against disease outbreaks.",Closed,2013-11-19T00:00:00,2014-05-31T00:00:00,"[""Philippines 100.00%""]",Plan International Canada ,"[""Material relief assistance and services 100.00%""]",1500000.00,,"The expected immediate outcome for this project include: (i) increased access to emergency shelter; (ii) increased access to essential household items; (iii) increased access to safe drinking water; and (iv) increased awareness of health and hygiene issues to help prevent disease.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""1500000.00""]","[""14.6042 120.9822""]","[""2013200206""]","[""Plan International Canada ""]",,,"[""1500000.00"", ""1500000.00""]"
796,CA-3-D000489001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Emergency Assistance for Women and Children -World Vision Canada,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   With DFATD's support, World Vision Canada is providing emergency assistance, including essential household and hygiene items and psychosocial support, to 50,000 children and women in the regions of Leyte (including Tacloban city), Samar, Capiz (including Roxas City), Iloilo, Aklan, and Northern Cebu. Some project activities include: (i) distributing temporary shelter supplies, such as tarpaulins and ropes, to 5,000 households; (ii) distributing essential household items, such as blankets, mosquito nets, and plastic mats, to 10,000 families; (iii) distributing essential hygiene items, including bath and laundry soap, toothbrushes and toothpaste, sanitary pads, and underwear to 10,000 people; and (iv) providing psychosocial support to 17,500 vulnerable children and their mothers through Child Friendly Spaces and Women and Infant Friendly Spaces where children can learn and play in a safe environment.",Closed,2013-11-22T00:00:00,2014-05-31T00:00:00,"[""Philippines 100.00%""]",World Vision Canada ,"[""Material relief assistance and services 100.00%""]",2000000.00,,"The expected immediate outcomes of this project include: (i) improved ability of the most vulnerable to meet immediate, safe and adequate shelter and household needs; (ii) improved physical security and health; and (iii) increased access to protective environments for children and women.   The expected intermediate outcome is reduced vulnerability of typhoon-affected people, especially women and children.",,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""2000000.00""]","[""14.6042 120.9822""]","[""2013200208""]","[""World Vision Canada ""]",,,"[""2000000.00"", ""2000000.00""]"
797,CA-3-D000496001,2025-03-04T06:33:31,Typhoon Haiyan in the Philippines - Deployment of Emergency Relief Items - Canadian Red Cross 2013,"November 19, 2013 – On November 8, 2013, Typhoon Haiyan (locally known as Yolanda) made landfall in the Philippines, killing a reported 3,976 people and affecting 12.9 million people in 41 provinces. Some four million people have been reported as displaced from their homes and are seeking shelter in evacuation centres or with host families. This number is expected to rise. The typhoon caused extensive damage to infrastructure in the hardest-hit areas, making it very challenging to access affected people with emergency assistance. The latest reports indicate that the typhoon destroyed more than one million homes and that electricity and water systems are not functioning in many affected areas. The Government of the Philippines has identified the most significant needs as safe drinking water, shelter, food, medical assistance, and support to ensure adequate hygiene and sanitation.   In response to the crisis, DFATD has deployed emergency relief items from its stockpile, managed by the Canadian Red Cross, to meet the immediate needs of people most affected by Typhoon Haiyan. The items include blankets, tents, water purification tablets, shelter kits, jerry cans, tarps, and buckets. The emergency items will be provided to Médecins Sans Frontières (MSF) Canada, CARE Canada, and Save the Children Canada, which will distribute the relief items in the Philippines where they are most needed. This project covers the deployment, and subsequent restocking, of emergency relief items to the Philippines as facilitated by the Canadian Red Cross Society.",Closed,2013-12-05T00:00:00,2014-02-28T00:00:00,"[""Philippines 100.00%""]",Canadian Red Cross ,"[""Material relief assistance and services 100.00%""]",5000000.00,,"The expected outputs of this project include: distribution of emergency relief supplies to meet the immediate needs of 25,000 typhoon-affected beneficiaries.   Expected intermediate outcome is reduced vulnerability of crisis-affected people, especially women and children.",,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""5000000.00""]","[""14.6042 120.9822""]","[""2013200209""]","[""Canadian Red Cross ""]",,,"[""5000000.00"", ""2500000.00"", ""2500000.00""]"
798,CA-3-D000498001,2025-03-04T06:33:31,Syria Crisis - Emergency Assistance for Syrian Refugees in South Lebanon - World Vision 2013,"December 2013 - The humanitarian situation in Syria has rapidly deteriorated over the past year as a result of the civil war in the country. The United Nations estimates more than 110,000 people have been killed, and hundreds of thousands more wounded, due to the violence. Within Syria, some 9.3 million people are in need of humanitarian assistance, 6.5 million of whom are internally displaced. In addition, over 2.2 million Syrian refugees are living in host countries in the region. Women and children are particularly vulnerable to the gravest consequences of the conflict and host countries are increasingly overstretched by the influx of people needing assistance.   With DFATD’s support, World Vision is helping people survive the winter by providing food, and household items for 6,250 non-registered vulnerable Syrian refugees (1,250 families) in Saida and Tyre Cazas in South Lebanon. Project activities include: (i) providing cash assistance to cover essential life-saving items, such as thermal blankets, diesel, gas stoves and fuel for the stoves; and (ii) providing cash assistance for basic food and essential household supplies, including hygiene related items. The project seeks to provide sufficient assistance to alleviate the pressures that people are under as a result of being unable to make a decent living during the crisis, and to maintain human dignity.",Closed,2014-01-08T00:00:00,2014-07-31T00:00:00,"[""Lebanon 100.00%""]",World Vision Canada ,"[""Material relief assistance and services 100.00%""]",2000000.00,,"The expected immediate outcome for this project is improved livelihoods and protection for vulnerable refugee households in South Lebanon through the provision of household items, including items to help people survive the winter.   The expected intermediate outcome is reduced vulnerability of crisis-affected people, especially women and children.",,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""2000000.00""]","[""33.88894 35.49442""]","[""2013200210""]","[""World Vision Canada ""]",,,"[""2000000.00"", ""-2000000.00"", ""2000000.00"", ""2000000.00""]"
799,CA-3-D000515001,2025-03-04T06:33:31,Prevention and Reduction of Sexual Violence in Armed Conflict Situations - ICRC 2014,"This project expands the International Committee of the Red Cross’s (ICRC) capacity to prevent and reduce sexual violence in five countries where serious risks of sexual and gender-based violence persist.  With the support of DFATD and other donors, ICRC is: (1) strengthening emergency preparedness and operational responses to sexual violence, including through specific training and deployment of specialists; (2) promoting international humanitarian law among all parties to a conflict to prevent and reduce sexual violence; (3) working with national Red Cross and Red Crescent Societies to increase awareness of sexual violence and integrate prevention measures into their programming; and (4) working with governments to increase the prosecution of violators by strengthening national laws and policies.",Closed,2014-03-28T00:00:00,2014-12-31T00:00:00,,ICRC - International Committee of the Red Cross ,"[""Relief co-ordination; protection and support services 100.00%""]",5000000.01,,"The expected immediate outcomes for this project include: (1) improved capacity to provide humanitarian assistance to those affected by sexual violence, and (2) improved capacity to prevent sexual violence.  The expected intermediate outcome is reduced vulnerability of crisis-affected people, especially women and children.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,International Assistance Partnerships an,Department-Initiated,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]","[""Africa, regional""]",,"[""5000000.00"", ""0.00""]",,"[""2014200143""]","[""ICRC - International Committee of the Red Cross ""]",,,"[""5000000.01"", ""5000000.00""]"
800,CA-3-D000525001,2025-03-04T06:33:31,Providing Food Assistance - UN Humanitarian Response 2014,"This project aims to improve the resilience of Palestinian women, men and children by ensuring that about 237,000 non-refugee Palestinians in Gaza and 263,000 non-refugee Palestinians in the West Bank have access to safe, nutritious and sufficient food. Some project activities include: (1) providing emergency food assistance; (2) distributing food vouchers; (3) providing food to orphanages; and (4) monitoring access to food to determine where the needs are greatest. To raise awareness of the importance of good nutrition, the project supports educational campaigns and activities. The project also improves coordination among organizations working to increase access to food and enhance emergency preparedness.   This project is one of over 150 projects that make up the United Nations' 2014 Humanitarian Programme Cycle (HPC) for the West Bank and Gaza. The 2014 HPC, worth over US $400 million, allows the international community to help spare Palestinians from the worst effects of the ongoing crisis. Delivered through a coordinated approach, the HPC provides life-saving humanitarian assistance by providing food, water, health, and nutrition and by increasing the protection of civilians.",Closed,2014-03-31T00:00:00,2015-03-16T00:00:00,"[""West Bank Gaza 100.00%""]",WFP - World Food Programme ,"[""Emergency food aid 90.00%"", ""Relief co-ordination; protection and support services 10.00%""]",17000000.00,,"The expected intermediate outcomes for this project include: increased access to food to meet the basic human needs of hunger-affected women, men, and children.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,"EGM Europe, Arctic, Middle East and Magh",Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Indigenous Issues"", ""Disability"", ""ICT as a tool for development""]",,,"[""12000000.00""]","[""31.93 35.205""]","[""2014200145""]","[""WFP - World Food Programme ""]",,"[""CA-3-D000525005"", ""CA-3-D000525002"", ""CA-3-D000525004"", ""CA-3-D000525003""]","[""17000000.00"", ""12000000.00"", ""5000000.00""]"
801,CA-3-D000525002,2025-03-04T06:33:31,Improving the Coordination of Humanitarian Assistance - UN Humanitarian Response 2014,"This project aims to improve the planning and delivery of humanitarian aid in the West Bank and Gaza. The project aims to improve the coordination and monitoring of humanitarian responses so that they are better able to meet emergency needs in a timely manner. Some project activities include: (i) promoting better coordination and monitoring of, and reporting on, activities that assist vulnerable populations in the area; and (ii) strengthening information management to establish a common baseline that will help harmonize humanitarian programming and improve its effectiveness; and (iii) strengthening the analysis of gender equality needs, providing training and advocacy on gender equality issues, and improving the integration of gender-sensitive approaches and systems in humanitarian response strategies and projects.   This project is one of over 150 projects that make up the United Nations' 2014 Humanitarian Programme Cycle (HPC) for the West Bank and Gaza. The 2014 HPC, worth over US $400 million, allows the international community to help spare Palestinians from the worst effects of the ongoing crisis. Delivered through a coordinated approach, the HPC provides life-saving humanitarian assistance by providing food, water, health, and nutrition and by increasing the protection of civilians.",Closed,2014-03-28T00:00:00,2015-03-16T00:00:00,"[""West Bank Gaza 100.00%""]",OCHA - United Nations Office for the Coordination of Humanitarian Affairs ,"[""Relief co-ordination; protection and support services 100.00%""]",500000.00,,"The expected intermediate outcomes for this project include: strengthened humanitarian coordination through information management, advocacy and dissemination of humanitarian information.",,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,"EGM Europe, Arctic, Middle East and Magh",Humanitarian Response,"[""Gender equality"", ""Environmental sustainability (cross-cutting)"", ""Participatory development and good governance"", ""Trade development"", ""Biodiversity"", ""Climate change mitigation"", ""Climate Change Adaptation"", ""Urban issues"", ""Desertification"", ""Children's issues"", ""Youth Issues"", ""Disability"", ""Indigenous Issues"", ""ICT as a tool for development""]",,,"[""500000.00""]","[""31.93 35.205""]","[""2014200146""]","[""OCHA - United Nations Office for the Coordination of Humanitarian Affairs ""]",,"[""CA-3-D000525005"", ""CA-3-D000525001"", ""CA-3-D000525004"", ""CA-3-D000525003""]","[""500000.00"", ""500000.00""]"
